title,html
3D Print a High-Power Electric Unicycle,https://makezine.com/projects/3d-print-electric-unicycle/
Laser Cut This Slot-Together Raceway,https://makezine.com/projects/tin-tumble-tower-raceway/
Mold and Decorate Sugar Skulls for Dia de los Muertos,https://makezine.com/projects/mold-decorate-sugar-skulls-dia-de-los-muertos/
Build a 240V Power Adapter for Your MIG Welder,https://makezine.com/projects/build-240v-adapter/
Collect and Display Weather Data with a Raspberry Pi,https://makezine.com/projects/raspberry-pi-weather-station-mount/
Save Space with a Collapsible Bike Trailer,https://makezine.com/projects/origami-folding-bike-trailer/
Pitch Wiffle Balls with a Leaf Blower and PVC,https://makezine.com/projects/leaf-blower-wiffle-ball-launcher/
Make an LED Candle You Can Blow Out,https://makezine.com/projects/make-an-led-candle-you-can-blow-out/
Punk Those Trick-or-Treaters with a 3D Radar Booby Trap,https://makezine.com/projects/punk-those-trick-or-treaters-with-a-3d-radar-booby-trap/
Craft Miniature Pallet Drink Coasters from Popsicle Sticks,https://makezine.com/projects/mini-coaster-pallet/
Ferment Honey to Brew Your Own Mead,https://makezine.com/projects/ferment-honey-to-brew-your-own-mead/
Design a Phenakistoscope for a Mesmerizing Spinning Optical Illusion,https://makezine.com/projects/animated-records-phenakistoscopes/
Fake Blood: When to Make vs. When to Buy,https://makezine.com/projects/halloween-2016-fake-blood/
Carve A Jack-O’-Lantern Zoetrope,https://makezine.com/projects/halloween-2016-carve-jack-o-lantern-zoetrope/
Recreate the Spooky Spell Book from Hocus Pocus,https://makezine.com/projects/halloween-2016-hocus-pocus-spellbook/
5-Minute Glowing Ghost Eyes,https://makezine.com/projects/halloween-2016-5-minute-glowing-ghost-eyes/
Build a Simple Camp Stove from a Tin Can,https://makezine.com/projects/tin-can-cooker/
